,x,y,Cluster,tires,numtire
0,4.595298,-74.171624,2,68,68
1,4.596122,-74.178602,2,201,201
2,4.745856,-74.063052,4,188,188
3,4.697541,-74.115352,9,59,59
4,4.693765,-74.119053,9,15,15
5,4.641715,-74.123246,13,13,13
6,4.595945,-74.134038,33,1,1
7,4.595945,-74.137498,33,30,30
8,4.613861,-74.116704,14,7,7
9,4.615478,-74.114371,14,51,51
10,4.618621,-74.105952,14,18,18
11,4.633294,-74.109531,49,7,7
12,4.629785,-74.105249,49,4,4
13,4.606673,-74.10775,32,54,54
14,4.613623,-74.096319,42,2,2
15,4.595142,-74.102323,18,29,29
16,4.59215,-74.089766,46,39,39
17,4.586684,-74.098206,18,18,18
18,4.569778,-74.084459,37,37,37
19,4.598147,-74.092788,46,25,25
20,4.598545,-74.093331,46,5,5
21,4.598442,-74.090769,46,3,3
22,4.608976,-74.076313,29,49,49
23,4.598842,-74.090657,46,9,9
24,4.595902,-74.085903,46,1,1
25,4.597418,-74.089622,46,6,6
26,4.595685,-74.092886,46,8,8
27,4.595169,-74.099007,18,28,28
28,4.60238,-74.109782,32,5,5
29,4.598438,-74.106659,32,11,11
30,4.629164,-74.080108,30,12,12
31,4.756479,-74.02766,21,6,6
32,4.760518,-74.031537,21,38,38
33,4.767948,-74.02884,21,9,9
34,4.558657,-74.135261,43,13,13
35,4.561353,-74.13103,43,9,9
36,4.566102,-74.135838,43,3,3
37,4.563363,-74.139856,7,2,2
38,4.589159,-74.140022,33,1,1
39,4.584797,-74.137009,33,11,11
40,4.581565,-74.115557,16,2,2
41,4.575569,-74.105548,0,17,17
42,4.576671,-74.108663,0,2,2
43,4.630336,-74.139328,26,2,2
44,4.614231,-74.140557,26,17,17
45,4.644406,-74.169309,23,15,15
46,4.599916,-74.142772,8,5,5
47,4.598707,-74.143748,8,1,1
48,4.602858,-74.144277,8,58,58
49,4.601135,-74.14858,8,12,12
50,4.60323,-74.143308,8,43,43
51,4.615562,-74.151735,26,2,2
52,4.617179,-74.178561,6,21,21
53,4.6253,-74.177507,6,3,3
54,4.637786,-74.172548,23,12,12
55,4.627226,-74.199651,25,9,9
56,4.627408,-74.199327,25,13,13
57,4.634619,-74.187739,25,21,21
58,4.630994,-74.184353,25,81,81
59,4.629321,-74.187295,25,14,14
60,4.624647,-74.183417,6,28,28
61,4.591559,-74.154327,8,3,3
62,4.560996,-74.14153,7,1,1
63,4.611617,-74.140899,26,73,73
64,4.686099,-74.090032,17,13,13
65,4.70122,-74.113407,9,2,2
66,4.708403,-74.129882,24,5,5
67,4.708291,-74.134839,24,2,2
68,4.716624,-74.142913,24,38,38
69,4.710172,-74.139275,24,6,6
70,4.703811,-74.135061,24,20,20
71,4.684646,-74.114368,47,25,25
72,4.672283,-74.125234,47,16,16
73,4.685034,-74.139465,11,20,20
74,4.68724,-74.150171,11,21,21
75,4.740545,-74.124813,10,52,52
76,4.741739,-74.113862,22,37,37
77,4.595407,-74.083502,15,1,1
78,4.592984,-74.081144,15,3,3
79,4.589322,-74.079188,15,5,5
80,4.586021,-74.081078,15,3,3
81,4.588564,-74.083812,15,4,4
82,4.594901,-74.102445,18,84,84
83,4.593411,-74.099841,18,3,3
84,4.592419,-74.09988,18,20,20
85,4.593606,-74.104355,18,31,31
86,4.588033,-74.121109,16,23,23
87,4.589781,-74.118642,16,10,10
88,4.608518,-74.099899,42,21,21
89,4.606802,-74.099352,42,13,13
90,4.631452,-74.07944,30,16,16
91,4.609003,-74.066736,29,4,4
92,4.612812,-74.070787,29,15,15
93,4.643595,-74.071837,44,12,12
94,4.680585,-74.120669,47,10,10
95,4.675754,-74.117815,47,8,8
96,4.611355,-74.070155,29,9,9
97,4.624718,-74.082683,30,7,7
98,4.593926,-74.074112,15,1,1
99,4.609835,-74.07778,29,19,19
100,4.615794,-74.086009,5,14,14
101,4.588979,-74.118823,16,65,65
102,4.584454,-74.106231,0,44,44
103,4.579519,-74.108332,0,9,9
104,4.578662,-74.108225,0,22,22
105,4.575871,-74.121224,16,12,12
106,4.558484,-74.117393,20,38,38
107,4.564931,-74.127926,43,15,15
108,4.562195,-74.127534,43,4,4
109,4.560484,-74.14923,7,4,4
110,4.558308,-74.135412,43,1,1
111,4.761609,-74.021291,21,7,7
112,4.75809,-74.081247,28,2,2
113,4.75215,-74.088881,28,18,18
114,4.690554,-74.084551,17,3,3
115,4.754981,-74.083435,28,6,6
116,4.677236,-74.151014,11,45,45
117,4.68784,-74.16067,11,57,57
118,4.561138,-74.139209,7,56,56
119,4.510261,-74.146495,39,14,14
120,4.53601,-74.140767,48,60,60
121,4.558411,-74.135197,43,4,4
122,4.571656,-74.166374,27,10,10
123,4.596108,-74.169269,2,25,25
124,4.614894,-74.17482,6,18,18
125,4.601757,-74.179726,34,12,12
126,4.601089,-74.181783,34,70,70
127,4.607881,-74.205279,45,42,42
128,4.623807,-74.183721,6,34,34
129,4.630064,-74.188272,25,33,33
130,4.638325,-74.19286,25,35,35
131,4.635637,-74.173572,23,27,27
132,4.645422,-74.166841,23,30,30
133,4.543479,-74.105859,20,32,32
134,4.561313,-74.122565,43,2,2
135,4.596606,-74.095928,18,5,5
136,4.601486,-74.094343,46,29,29
137,4.61573,-74.088362,5,48,48
138,4.615752,-74.088361,5,17,17
139,4.618431,-74.08274,5,37,37
140,4.618024,-74.084207,5,3,3
141,4.603591,-74.100861,42,9,9
142,4.608704,-74.09622,42,8,8
143,4.603591,-74.100861,42,36,36
144,4.592789,-74.123816,16,80,80
145,4.743573,-74.110774,22,48,48
146,4.742823,-74.101391,22,15,15
147,4.738977,-74.107399,22,14,14
148,4.753994,-74.094923,28,22,22
149,4.753607,-74.057286,4,50,50
150,4.754243,-74.045433,4,4,4
151,4.685213,-74.046479,1,2,2
152,4.658167,-74.068513,41,7,7
153,4.694769,-74.124136,9,26,26
154,4.696156,-74.12535,9,33,33
155,4.69684,-74.113065,9,18,18
156,4.683922,-74.102583,38,26,26
157,4.683922,-74.102583,38,23,23
158,4.631729,-74.152459,23,9,9
161,4.614758,-74.14083,26,2,2
162,4.627452,-74.163436,23,14,14
163,4.61138,-74.094156,42,12,12
164,4.61138,-74.094156,42,34,34
165,4.614679,-74.083661,5,51,51
166,4.595223,-74.098975,18,42,42
167,4.603822,-74.091897,46,41,41
168,4.593475,-74.073618,15,13,13
169,4.599531,-74.077073,15,3,3
170,4.595357,-74.081123,15,4,4
171,4.575849,-74.094615,37,1,1
172,4.642639,-74.078151,44,99,99
173,4.643558,-74.071089,44,10,10
174,4.658329,-74.070039,41,16,16
175,4.682983,-74.063733,1,2,2
176,4.666412,-74.063018,40,1,1
177,4.635491,-74.10078,49,8,8
178,4.638982,-74.093588,30,4,4
179,4.619066,-74.112742,14,6,6
180,4.601979,-74.121206,32,35,35
182,4.57578,-74.094615,37,32,32
183,4.550983,-74.099844,20,84,84
184,4.549722,-74.113321,20,39,39
185,4.55473,-74.148296,7,22,22
186,4.53353,-74.154261,48,32,32
187,4.590021,-74.071038,15,8,8
188,4.616367,-74.073259,29,27,27
189,4.624721,-74.077042,30,35,35
190,4.629474,-74.109271,49,4,4
191,4.692423,-74.101879,17,44,44
192,4.604275,-74.172851,2,25,25
193,4.692423,-74.101879,17,14,14
194,4.614773,-74.080353,5,36,36
195,4.657284,-74.070697,41,6,6
196,4.651669,-74.075772,12,3,3
197,4.65945,-74.077226,12,20,20
198,4.663083,-74.076077,40,65,65
199,4.715452,-74.125238,24,24,24
200,4.719727,-74.133247,24,49,49
201,4.714037,-74.115919,3,9,9
202,4.697477,-74.115347,9,21,21
203,4.653742,-74.121543,13,23,23
204,4.650846,-74.121202,13,2,2
205,4.648461,-74.115184,13,20,20
206,4.745778,-74.108991,22,69,69
207,4.751399,-74.113196,10,38,38
208,4.755051,-74.115887,10,165,165
209,4.739072,-74.105411,22,2,2
210,4.714694,-74.064467,31,4,4
211,4.737042,-74.047964,4,18,18
212,4.753139,-74.047234,4,1,1
213,4.683994,-74.148154,11,27,27
214,4.559438,-74.133499,43,316,316
215,4.627294,-74.081052,30,7,7
216,4.634673,-74.090113,30,2,2
217,4.630502,-74.09654,30,3,3
218,4.632147,-74.111349,49,3,3
219,4.627897,-74.107207,49,9,9
220,4.618555,-74.088348,5,36,36
221,4.615832,-74.081331,5,23,23
222,4.613465,-74.095665,42,3,3
223,4.606735,-74.097521,42,2,2
224,4.606735,-74.097521,42,54,54
225,4.598678,-74.107193,32,17,17
226,4.600583,-74.134642,33,1,1
227,4.600583,-74.134642,33,151,151
228,4.635726,-74.186645,25,2,2
229,4.631719,-74.199943,25,52,52
230,4.630113,-74.201951,25,7,7
231,4.616002,-74.191855,45,21,21
232,4.608851,-74.20377,45,98,98
233,4.623119,-74.180467,6,47,47
235,4.630016,-74.179801,6,1,1
236,4.610611,-74.179751,34,3,3
237,4.612634,-74.176794,34,5,5
238,4.600187,-74.154879,8,11,11
239,4.649746,-74.134324,13,2,2
240,4.684043,-74.14818,11,32,32
241,4.753467,-74.123911,10,12,12
242,4.745431,-74.108824,22,19,19
243,4.753329,-74.123434,10,48,48
244,4.745174,-74.037032,36,11,11
245,4.745226,-74.036973,36,96,96
246,4.714904,-74.053108,31,11,11
247,4.735054,-74.036597,36,33,33
248,4.652349,-74.075806,12,12,12
249,4.664835,-74.071225,40,13,13
250,4.710699,-74.142269,24,44,44
251,4.559287,-74.139324,7,1,1
252,4.590148,-74.154819,27,63,63
253,4.589549,-74.166041,2,23,23
254,4.598338,-74.185698,34,9,9
